"ID";"PM25";"Temperatura";"Wilgotnosc";"Cisnienie"
8077;22,59;1,77;91,75;1013,29
10211;27,75;-0,22;75,26;1012,96
87160;32,23;1,5;91,75;1016,03
103967;NA;NA;NA;NA
103904;27,64;2,84;88,9;1015,15
86934;20,63;1,41;91,75;1012
58;NA;NA;NA;NA
17;24,91;NA;NA;NA
87166;NA;NA;NA;NA
87164;29,2;0,15;88,89;1015,71
10043;25,99;0,87;77,17;1013,46
101557;25,33;NA;NA;1014,78
8076;19,47;1,45;91,75;NA
103969;29,11;2,42;91,68;1016,39
37818;26,64;0,96;91,75;1012,99
86949;24,77;1,3;91,2;1012,02
2935;20,17;1,63;91,75;1014,78
38444;27,07;0,61;91,75;1013,67
39735;25,22;1,65;91,31;1011,31
106665;24,33;1,1;91,31;1012,24
86936;23,66;1,62;69,4;1012,61
8165;24,11;1,62;91,75;1012,19
10053;26,07;0,33;75,63;1013,59
10039;23,6;1,37;72,25;1013,45
1026;27,43;1,95;91,28;1011,77
86941;25,9;1,64;91,75;1011,65
86980;24,84;2,17;90;1012,05
90118;26,64;0,99;88,7;1014,18
86909;20,47;1,57;91,69;1014,25
39577;22,44;3,92;91,75;1013,51
18410;NA;NA;NA;NA
87029;27,59;NA;NA;1014,48
86932;21,31;3,59;91,75;1011,74
60;NA;NA;NA;NA
86904;21,48;3,65;67,33;1012,86
97303;26,12;2,24;91,75;1013,42
10279;27,45;1,76;67,12;1012,94
43068;26,8;0,61;91,34;1013,4
10042;29,6;0,03;78,19;1015,04
10032;27,18;0,4;90,13;NA
86918;21,15;2,25;67,68;1012,34
80731;20,99;3,94;67,36;1012,99
86898;NA;NA;NA;NA
103971;31,24;2,13;91,66;1015,69
86906;19,05;2,54;91,75;1014,05
41210;22,58;1,99;82,68;1012,66
87058;25,63;2,58;91,75;1012,51
8973;23,72;NA;NA;1012,31
40699;NA;NA;NA;NA
7956;22,36;0,87;91,75;1011,36
33033;23,64;0,82;91,75;1013,62
86901;25,71;1,47;90,05;1013,57
103387;23,61;1,89;91,75;1012,68
86915;25,09;1,77;91,75;1012,14
7634;20,26;1,15;91,75;1013,95
90388;25,61;0,53;86,8;1013,34
10463;25,8;0,3;91,42;1012,56
32907;23,49;NA;NA;1013,22
11248;17,16;1,31;79,39;1011,77
86896;20,55;1,79;91,75;1012,38
40571;28,9;0,75;91,75;1013,77
18;NA;NA;NA;NA
42665;NA;NA;NA;NA
86899;25,05;2,7;91,75;1014,18
86840;NA;NA;NA;NA
90552;25,4;1,63;88,13;1014,45
86905;22,43;1,55;91,75;1011,17
103311;22,18;5,56;82,41;1013,8
41246;21,74;1,26;79,31;1012,24
5651;21,68;1,84;91,75;1011,93
2513;19,89;2,38;91,75;1013,76
36605;17,03;3,8;91,75;1012,27
7456;20,62;1,47;91,75;1010,02
5624;25,72;1,25;91,25;1014,56
87014;23,49;1,68;90,01;1013,72
11473;23,6;1,09;91,31;1012,3
98153;22,73;3,46;87,09;1012,95
59;NA;NA;NA;NA
86917;NA;NA;NA;NA
7617;18,81;1,54;67,15;1011,35
39433;27,9;1,2;90;1012,78
86800;24,76;1,25;91,25;1013,32
8979;34,02;1,35;91,75;1012,31
86920;NA;NA;NA;NA
86914;22,42;1,01;65,33;1012,69
238;22,04;0,97;91,75;1014
36475;20,42;1,6;91,75;1012,74
36654;51,42;0,87;91,75;1012,59
7758;NA;NA;NA;NA
9077;19,33;5,23;91,75;1011,58
7844;21,78;1,77;92,56;1011,97
102630;27,37;1,65;84,6;1012,25
86910;17,38;3,92;91,25;1012,53
86925;20,26;1,72;68,55;1012,82
86961;23,33;3,95;91,75;1013,81
6070;21,28;2,82;91,75;1013,77
6147;20,59;1,25;91,75;1011,65
33053;19,8;1,98;92,56;1012,58
19;28,45;NA;NA;NA
86998;24,64;0,46;91,75;1013,74
38615;26,86;1,05;91,2;1012,75
5709;21,2;1,69;67,14;1011,4
7683;18,4;1,43;91,75;1013,05
18769;20,89;3,97;92,63;1013,04
101102;19,97;3,47;88,76;1013,46
86902;16,45;4,25;90,88;1011,77
12001;NA;NA;NA;NA
